1,1,1,18,20,11,1
2,2,2,17,19,12,14
3,3,3,16,18,13,7
4,4,4,15,17,14,20
5,5,5,14,16,15,13
6,6,6,13,15,16,6
7,7,7,12,14,17,19
8,8,8,11,13,18,12
9,9,9,10,12,19,5
10,10,10,9,11,20,18
11,11,11,8,10,1,11
12,12,12,7,9,2,4
13,13,13,6,8,3,17
14,14,1,5,7,4,14
15,15,2,4,6,5,7
16,16,3,3,5,6,20
17,17,4,2,4,7,13
18,18,5,1,3,8,6
19,19,6,20,2,9,19
20,20,7,19,1,10,12
21,1,8,18,20,11,5
22,2,9,17,19,12,18
23,3,10,16,18,13,11
24,4,11,15,17,14,4
25,5,12,14,16,15,17
26,6,13,13,15,16,10
27,7,1,12,14,17,7
28,8,2,11,13,18,20
29,9,3,10,12,19,13
30,10,4,9,11,20,6
31,11,5,8,10,1,19
32,12,6,7,9,2,12
33,13,7,6,8,3,5
34,14,8,5,7,4,18
35,15,9,4,6,5,11
36,16,10,3,5,6,4
37,17,11,2,4,7,17
38,18,12,1,3,8,10
39,19,13,20,2,9,3
40,20,1,19,1,10,20
41,1,2,18,20,11,13
42,2,3,17,19,12,6
43,3,4,16,18,13,19
44,4,5,15,17,14,12
45,5,6,14,16,15,5
46,6,7,13,15,16,18
47,7,8,12,14,17,11
48,8,9,11,13,18,4
49,9,10,10,12,19,17
50,10,11,9,11,20,10
51,11,12,8,10,1,3
52,12,13,7,9,2,16
53,13,1,6,8,3,13
54,14,2,5,7,4,6
55,15,3,4,6,5,19
56,16,4,3,5,6,12
57,17,5,2,4,7,5
58,18,6,1,3,8,18
59,19,7,20,2,9,11
60,20,8,19,1,10,4
61,1,9,18,20,11,17
62,2,10,17,19,12,10
63,3,11,16,18,13,3
64,4,12,15,17,14,16
65,5,13,14,16,15,9
66,6,1,13,15,16,6
67,7,2,12,14,17,19
68,8,3,11,13,18,12
69,9,4,10,12,19,5
70,10,5,9,11,20,18
71,11,6,8,10,1,11
72,12,7,7,9,2,4
73,13,8,6,8,3,17
74,14,9,5,7,4,10
75,15,10,4,6,5,3
76,16,11,3,5,6,16
77,17,12,2,4,7,9
78,18,13,1,3,8,2
79,19,1,20,2,9,19
80,20,2,19,1,10,12
81,1,3,18,20,11,5
82,2,4,17,19,12,18
83,3,5,16,18,13,11
84,4,6,15,17,14,4
85,5,7,14,16,15,17
86,6,8,13,15,16,10
87,7,9,12,14,17,3
88,8,10,11,13,18,16
89,9,11,10,12,19,9
90,10,12,9,11,20,2
91,11,13,8,10,1,15
92,12,1,7,9,2,12
93,13,2,6,8,3,5
94,14,3,5,7,4,18
95,15,4,4,6,5,11
96,16,5,3,5,6,4
97,17,6,2,4,7,17
98,18,7,1,3,8,10
99,19,8,20,2,9,3
100,20,9,19,1,10,16
101,1,10,18,20,11,9
102,2,11,17,19,12,2
103,3,12,16,18,13,15
104,4,13,15,17,14,8
105,5,1,14,16,15,5
106,6,2,13,15,16,18
107,7,3,12,14,17,11
108,8,4,11,13,18,4
109,9,5,10,12,19,17
110,10,6,9,11,20,10
111,11,7,8,10,1,3
112,12,8,7,9,2,16
113,13,9,6,8,3,9
114,14,10,5,7,4,2
115,15,11,4,6,5,15
116,16,12,3,5,6,8
117,17,13,2,4,7,1
118,18,1,1,3,8,18
119,19,2,20,2,9,11
120,20,3,19,1,10,4
